1,H,Hydrogen,1.007,1,1,NONMETAL,GAS
3,Li,Lithium,6.941,2,1,ALKALI_METAL,SOLID
11,Na,Sodium,22.99,3,1,ALKALI_METAL,SOLID
19,K,Potassium,39.098,4,1,ALKALI_METAL,SOLID
37,Rb,Rubidium,85.468,5,1,ALKALI_METAL,SOLID
55,Cs,Cesium,132.905,6,1,ALKALI_METAL,SOLID
87,Fr,Francium,223.0,7,1,ALKALINE_EARTH_METAL,SOLID
4,Be,Beryllium,9.012,2,2,ALKALINE_EARTH_METAL,SOLID
12,Mg,Magnesium,24.305,3,2,ALKALINE_EARTH_METAL,SOLID
20,Ca,Calcium,40.078,4,2,ALKALINE_EARTH_METAL,SOLID
38,Sr,Strontium,87.62,5,2,ALKALINE_EARTH_METAL,SOLID
56,Ba,Barium,137.327,6,2,ALKALINE_EARTH_METAL,SOLID
88,Ra,Radium,226.0,7,2,ACTINIDE,SOLID
21,Sc,Scandium,44.956,4,3,TRANSITION_METAL,SOLID
39,Y,Yttrium,88.906,5,3,TRANSITION_METAL,SOLID
57,La,Lanthanum,138.905,6,3,LANTHANIDE,SOLID
89,Ac,Actinium,227.0,7,3,ACTINIDE,SOLID
22,Ti,Titanium,47.867,4,4,TRANSITION_METAL,SOLID
40,Zr,Zirconium,91.224,5,4,TRANSITION_METAL,SOLID
72,Hf,Hafnium,178.49,6,4,TRANSITION_METAL,SOLID
104,Rf,Rutherfordium,261.0,7,4,TRANSACTINIDE,UNKNOWN
23,V,Vanadium,50.942,4,5,TRANSITION_METAL,SOLID
41,Nb,Niobium,92.906,5,5,TRANSITION_METAL,SOLID
73,Ta,Tantalum,180.948,6,5,TRANSITION_METAL,SOLID
105,Db,Dubnium,262.0,7,5,TRANSACTINIDE,UNKNOWN
24,Cr,Chromium,51.996,4,6,TRANSITION_METAL,SOLID
42,Mo,Molybdenum,95.96,5,6,TRANSITION_METAL,SOLID
74,W,Wolfram,183.84,6,6,TRANSITION_METAL,SOLID
106,Sg,Seaborgium,266.0,7,6,TRANSACTINIDE,UNKNOWN
25,Mn,Manganese,54.938,4,7,TRANSITION_METAL,SOLID
43,Tc,Technetium,98.0,5,7,TRANSITION_METAL,UNKNOWN
75,Re,Rhenium,186.207,6,7,TRANSITION_METAL,SOLID
107,Bh,Bohrium,264.0,7,7,TRANSACTINIDE,UNKNOWN
26,Fe,Iron,55.845,4,8,TRANSITION_METAL,SOLID
44,Ru,Ruthenium,101.07,5,8,TRANSITION_METAL,SOLID
76,Os,Osmium,190.23,6,8,TRANSITION_METAL,SOLID
108,Hs,Hassium,267.0,7,8,TRANSACTINIDE,UNKNOWN
27,Co,Cobalt,58.933,4,9,TRANSITION_METAL,SOLID
45,Rh,Rhodium,102.906,5,9,TRANSITION_METAL,SOLID
