95,Am,Americium,243.0,7, ,ACTINIDE,UNKNOWN
97,Bk,Berkelium,247.0,7, ,ACTINIDE,UNKNOWN
98,Cf,Californium,251.0,7, ,ACTINIDE,UNKNOWN
96,Cm,Curium,247.0,7, ,ACTINIDE,UNKNOWN
99,Es,Einsteinium,252.0,7, ,ACTINIDE,UNKNOWN
100,Fm,Fermium,257.0,7, ,ACTINIDE,UNKNOWN
103,Lr,Lawrencium,262.0,7, ,ACTINIDE,UNKNOWN
101,Md,Mendelevium,258.0,7, ,ACTINIDE,UNKNOWN
93,Np,Neptunium,237.0,7, ,ACTINIDE,UNKNOWN
102,No,Nobelium,259.0,7, ,ACTINIDE,UNKNOWN
94,Pu,Plutonium,244.0,7, ,ACTINIDE,UNKNOWN
91,Pa,Protactinium,231.036,7, ,ACTINIDE,SOLID
90,Th,Thorium,232.038,7, ,ACTINIDE,SOLID
92,U,Uranium,238.029,7, ,ACTINIDE,SOLID
58,Ce,Cerium,140.116,6, ,LANTHANIDE,SOLID
66,Dy,Dysprosium,162.5,6, ,LANTHANIDE,SOLID
68,Er,Erbium,167.259,6, ,LANTHANIDE,SOLID
63,Eu,Europium,151.964,6, ,LANTHANIDE,SOLID
64,Gd,Gadolinium,157.25,6, ,LANTHANIDE,SOLID
67,Ho,Holmium,164.93,6, ,LANTHANIDE,SOLID
71,Lu,Lutetium,174.967,6, ,LANTHANIDE,SOLID
60,Nd,Neodymium,144.242,6, ,LANTHANIDE,SOLID
59,Pr,Praseodymium,140.908,6, ,LANTHANIDE,SOLID
61,Pm,Promethium,145.0,6, ,LANTHANIDE,UNKNOWN
62,Sm,Samarium,150.36,6, ,LANTHANIDE,SOLID
65,Tb,Terbium,158.925,6, ,LANTHANIDE,SOLID
69,Tm,Thulium,168.934,6, ,LANTHANIDE,SOLID
70,Yb,Ytterbium,173.054,6, ,LANTHANIDE,SOLID
